,Year,Month,Day,Sentiment,Count
181,2020,3,22,negative,761859
182,2020,3,22,neutral,777304
183,2020,3,22,positive,159768
184,2020,3,23,negative,792262
185,2020,3,23,neutral,802144
186,2020,3,23,positive,154096
187,2020,3,24,negative,230022
188,2020,3,24,neutral,261954
189,2020,3,24,positive,59905
190,2020,3,25,negative,288356
191,2020,3,25,neutral,356055
192,2020,3,25,positive,82139
193,2020,3,26,negative,770442
194,2020,3,26,neutral,846946
195,2020,3,26,positive,164222
196,2020,3,27,negative,636935
197,2020,3,27,neutral,742582
198,2020,3,27,positive,168503
199,2020,3,28,negative,729384
200,2020,3,28,neutral,822024
201,2020,3,28,positive,181405
202,2020,3,29,negative,770852
203,2020,3,29,neutral,800932
204,2020,3,29,positive,165763
205,2020,3,30,negative,552804
206,2020,3,30,neutral,566267
207,2020,3,30,positive,111465
208,2020,3,31,negative,255609
209,2020,3,31,neutral,279390
210,2020,3,31,positive,69065
211,2020,4,1,negative,533857
212,2020,4,1,neutral,543958
213,2020,4,1,positive,99590
214,2020,4,2,negative,773537
215,2020,4,2,neutral,774073
216,2020,4,2,positive,133029
217,2020,4,3,negative,705078
218,2020,4,3,neutral,762103
219,2020,4,3,positive,146956
220,2020,4,4,negative,789978
221,2020,4,4,neutral,762751
222,2020,4,4,positive,169359
223,2020,4,5,negative,784071
224,2020,4,5,neutral,770033
225,2020,4,5,positive,175835
226,2020,4,6,negative,792203
227,2020,4,6,neutral,810017
228,2020,4,6,positive,165782
229,2020,4,7,negative,771585
230,2020,4,7,neutral,884632
231,2020,4,7,positive,169907
232,2020,4,8,negative,567745
233,2020,4,8,neutral,596101
234,2020,4,8,positive,123767
235,2020,4,9,negative,503204
236,2020,4,9,neutral,541988
237,2020,4,9,positive,112042
238,2020,4,10,negative,810174
239,2020,4,10,neutral,808598
240,2020,4,10,positive,169338
241,2020,4,11,negative,815616
242,2020,4,11,neutral,714110
243,2020,4,11,positive,156513
244,2020,4,12,negative,793817
245,2020,4,12,neutral,674813
246,2020,4,12,positive,156765
247,2020,4,13,negative,766401
248,2020,4,13,neutral,781281
249,2020,4,13,positive,144962
250,2020,4,14,negative,777905
251,2020,4,14,neutral,818574
252,2020,4,14,positive,147794
253,2020,4,15,negative,840507
254,2020,4,15,neutral,797865
255,2020,4,15,positive,139577
256,2020,4,16,negative,790607
257,2020,4,16,neutral,827298
258,2020,4,16,positive,158784
259,2020,4,17,negative,766758
260,2020,4,17,neutral,805633
261,2020,4,17,positive,139740
262,2020,4,18,negative,599945
263,2020,4,18,neutral,717553
264,2020,4,18,positive,147939
265,2020,4,19,negative,843780
266,2020,4,19,neutral,798478
267,2020,4,19,positive,154989
268,2020,4,20,negative,824903
269,2020,4,20,neutral,828183
270,2020,4,20,positive,141486
271,2020,4,21,negative,217165
272,2020,4,21,neutral,244061
273,2020,4,21,positive,64995
274,2020,4,22,negative,788259
275,2020,4,22,neutral,807628
